pdb,Hchain,Lchain,antigen_chain,delta_g,temperature,pdb_exists
5vpl,D,C,A,-10.599564136380756,,True
5tru,h,l,c,-10.87942933816716,,True
3wd5,H,L,A,-13.559634224160162,,True
6d01,E,F,J,-8.927113962567878,,True
2eh8,H,L,P,-11.29,37.0,True
1i7z,D,C,C,-8.728351841232218,,True
4m62,I,M,T,-11.718947964134085,,True
4z5r,M,L,E,-14.658430977236662,,True
3kdm,B,A,B,-9.54,25.0,True
2or9,H,L,P,-8.6,25.0,True
3hzy,B,A,A,-9.54970862587178,,True
4wht,U,V,u,-11.053614350904786,,True
3lh2,I,M,T,-11.25,,True
4n8c,I,M,Y,-12.821084109462982,,True
4hwb,H,L,A,-12.611243089917515,,True
1nma,H,L,N,-10.8,,True
2fx8,K,O,S,-8.89,,True
4kze,H,L,R,-10.371065410511342,,True
5te4,H,L,G,-10.919907375253752,,True
4xh2,C,D,c,-11.216608560689204,,True
5e08,H,L,N,-10.913952715282036,,True
2qr0,H,G,J,-11.5,37.0,True
4lu5,I,M,A,-13.889525396748654,,True
3hae,T,S,P | R,-10.0,,True
2wub,H,L,A,-9.3,25.0,True
2bdn,H,L,A,-15.46,25.0,True
1fe8,J,N,C,-7.774786144141744,,True
4kht,H,L,A,-11.413991208339995,,True
4lu5,H,L,B,-13.889525396748654,,True
3q3g,H,F,I,-11.32,25.0,True
4fqr,u,v,U,-9.54970862587178,,True
2jix,D,G,E,-10.26,,True
5w1m,F,E,Q,-10.624477030127814,,True
5do2,H,L,A,-9.263879005639293,,True
4z5r,U,T,I,-14.658430977236662,,True
2fx7,H,L,P,-10.5,,True
2cgr,H,L,H,-9.92,,True
6ddv,B,A,C,-11.238741254569952,,True
6flc,B,A,I,-9.212417624520992,,True
4xgz,J,K,j,-10.395251776049642,,True
4wht,I,J,i,-11.053614350904786,,True
4am0,E,F,Q,-12.792176733448072,,True
3r1g,H,L,B,-12.12,25.0,True
3u0t,D,C,E,-12.991531042419238,,True
5k59,H,L,A,-15.82804176815236,,True
5e2w,H,L,P,-10.243615428706017,,True
5e2v,H,L,P,-8.295148364558688,,True
6cbp,A,a,P,-7.032544530399885,,True
6axl,D,C,G,-9.696917926366758,,True
1iqd,B,A,C,-14.8,,True
6bli,J,K,L,-12.665637564550789,,True
6h0e,E,F,J,-9.031007686639388,,True
4qyo,A,B,Q,-11.216608560689204,,True
4k2u,H,L,A,-14.754720790655163,,True
2y6s,H,L,Q,-9.532195517943316,,True
5otj,H,L,C,-13.328052315201264,,True
4m62,H,L,S,-11.718947964134085,,True
1bj1,K,J,V,-11.55,25.0,True
5w1m,H,G,S,-10.624477030127814,,True
5c6t,H,L,A,-13.48699434919035,,True
6cdo,A,B,C,-12.243673427577416,,True
4g6m,H,L,A,-13.011617158513758,,True
4zfo,A,B,F,-14.567099215178107,,True
4qy8,A,B,Q,-9.814126450773603,,True
4yhp,C,D,Q,-11.867518412372508,,True
5c7x,M,N,B,-16.913816377693745,,True
4rgo,H,L,S,-11.053614350904786,,True
5do2,C,D,B,-9.263879005639293,,True
1bvk,E,D,F,-10.53,20.0,True
4wht,S,T,s,-11.053614350904786,,True
3ifo,A,B,Q,-9.9,25.0,True
5sx5,H,L,N,-12.195390134749903,,True
5kov,I,i,G,-11.907338499719083,,True
4u6h,C,D,J,-13.698318432538963,,True
3qwo,A,B,C,-9.63,,True
3iet,D,C,Q,-9.350354316900614,,True
1qfw,H,L,A,-10.913952715282036,,True
4bkl,A,B,E | G | F,-8.952510007908053,,True
2e27,H,L,H,-12.751299583055715,,True
3uc0,H,L,A,-12.6,37.0,True
6b0e,B,A,E,-10.077965960666114,,True
1i8m,H,L,T,-7.5969790708218685,,True
4jfx,H,L,P,-8.790776227275865,,True
5d72,H,L,A,-15.309340828919966,,True
5e8e,B,A,H,-11.929942798416157,,True
1tzh,B,A,W,-12.4,37.0,True
5j13,C,B,A,-13.945096739509712,,True
5kov,O,o,M,-11.907338499719083,,True
5n7w,H,L,X,-9.681917538322692,,True
3uzv,B,b,A,-12.77823529775025,,True
6mft,H,L,G,-7.691979474199363,,True
4hs6,B,A,Z,-10.26304286359873,,True
2r1x,B,A,B,-6.5427509671824025,,True
4hix,H,L,A,-9.305540383386385,,True
4lqf,H,L,A,-13.90224792779698,,True
6b0s,H,L,C,-9.20807461785177,,True
1ct8,B,A,D,-8.898798774188476,,True
6mlk,H,L,A,-10.75850617036984,,True
1h8s,A,a,a,-7.92964050141843,,True
4why,K,L,C,-11.053614350904786,,True
6f7t,B,A,D,-12.883508495506629,,True
2vir,B,A,C,-12.27,25.0,True
1tzh,H,L,V,-12.4,37.0,True
2i60,R,Q,P,-11.193370928227925,,True
2fl5,D,C,D,-11.929942798416157,,True
5l6y,H,L,C,-13.965182855604231,,True
6ii4,H,L,A,-10.613671557141997,,True
5nmv,H,L,K,-12.27819680469229,,True
4kro,D,C,A,-8.948201016697006,,True
5xjm,H,L,A,-12.77823529775025,,True
4xgz,H,L,h,-10.395251776049642,,True
4xgz,W,X,w,-10.395251776049642,,True
6axl,A,B,I,-9.696917926366758,,True
5hys,H,L,I,-14.201849726854263,,True
4cni,H,L,C,-15.006684983512798,,True
6h0e,H,L,I,-9.031007686639388,,True
4n9g,E,F,D,-12.942286816628542,,True
4f37,H,L,A,-11.268161381529886,,True
5ngv,H,L,A,-14.728215503643929,,True
5kov,E,e,B,-11.907338499719083,,True
2g2r,B,A,A,-10.75850617036984,,True
3ux9,D,d,C,-12.45101842491568,,True
4ybl,H,L,G,-13.328052315201264,,True
6b9j,A,B,Y,-12.900199280360685,,True
6d01,A,B,I,-8.927113962567878,,True
6d6u,J,I,B,-11.20681521904132,,True
4wht,M,N,m,-11.053614350904786,,True
2r2b,B,A,B,-5.730724827033278,,True
3l95,B,A,X,-11.73,25.0,True
3lh2,J,N,U,-11.25,,True
3eob,B,A,J,-11.8,25.0,True
5dyo,A,B,H,-13.935303397861828,,True
3uze,A,a,C,-11.046161627732946,,True
1yyl,H,L,G,-11.9,37.0,True
4i18,A,B,R,-11.25748571108156,,True
3skj,H,L,E,-12.4,,True
5w1m,B,A,R,-10.624477030127814,,True
3b2u,C,D,B,-12.27,25.0,True
4d9r,E,D,B,-15.549572288283487,,True
1wej,H,L,F,-10.63,25.0,True
5y11,A,B,C,-10.350110954979534,,True
3ikc,D,C,C,-10.171711101540176,,True
6bkd,H,L,E,-9.477296673074427,,True
5t78,D,C,E,-10.04974711892974,,True
6f7t,H,L,C,-12.883508495506629,,True
4cni,A,B,D,-15.006684983512798,,True
5w0k,H,L,A,-9.771277639060871,,True
5b71,B,A,E,-13.394361854051732,,True
4gqp,h,H,H,-13.09955358933185,,True
2uzi,H,L,R,-11.19,25.0,True
4hpy,H,L,P,-13.534418347189932,,True
5bk1,C,D,B,-12.22172707862036,,True
4r8w,H,L,B | A,-13.284393546178524,,True
2y6s,D,C,P,-9.532195517943316,,True
5utz,B,C,A,-11.904493814008964,,True
2r0k,H,L,A,-12.57,25.0,True
4qxt,A,B,Q,-10.635483235413163,,True
5d71,H,L,A,-13.897672741510132,,True
4fqj,H,L,A,-12.340621190735936,,True
4zpt,A,B,R,-10.91811468499047,,True
1dee,D,C,G,-8.728351841232218,,True
3k2u,H,L,A,-13.36,25.0,True
3a67,H,L,Y,-11.44,30.0,True
2b2x,I,M,B,-11.95,,True
4z5r,Q,P,G,-14.658430977236662,,True
5kn5,A,B,C,-13.630708160608432,,True
5eoc,H,L,P,-10.257147454957629,,True
4hs8,H,L,A,-10.805930168369423,,True
4j4p,C,D,B,-10.092595930642474,,True
5ikc,B,A,M,-10.325467249642376,,True
5tkk,H,L,A,-11.291226680167965,,True
1fsk,C,B,A,-13.12373995487015,,True
4xgz,Q,R,q,-10.395251776049642,,True
2iff,H,L,Y,-10.913952715282036,,True
1yym,R,Q,P,-6.852859535761411,,True
4fqv,I,M,F | E,-12.22172707862036,,True
4wy7,H,L,P,-9.24586899649438,,True
4hs6,H,L,Y,-10.26304286359873,,True
2a6d,B,A,P,-9.309477166508255,,True
2ntf,B,A,B,-9.25,37.0,True
4mhj,F,E,C,-12.27819680469229,,True
3g6d,H,L,A,-14.645408833701548,,True
3l95,H,L,Y,-11.73,25.0,True
3vw3,H,L,A | B | A,-9.082560507480071,,True
6mhr,D,E,F,-10.446804596890326,,True
4fqr,o,p,O,-9.54970862587178,,True
1w72,H,L,A | C,-10.71,,True
1c5c,H,L,L,-9.493238899799852,,True
3b2v,H,L,A,-11.56,25.0,True
3v6z,C,D,E,-11.570817226937056,,True
4yhz,H,L,P,-10.857482989210109,,True
3gjf,M,K,D | F,-9.82,,True
4krp,D,C,A,-9.249427467731744,,True
5w08,G,H,A,-10.092595930642474,,True
2hrp,H,L,P,-11.32,,True
1igj,B,A,B,-13.91,20.0,True
4nja,H,L,H,-8.488120381868695,,True
4jg1,H,L,P,-9.051093802733906,,True
1dl7,H,L,L,-8.86056075368313,,True
3uze,B,b,D,-11.046161627732946,,True
4gms,I,M,C,-10.503274322962254,,True
6b9j,H,L,X,-12.900199280360685,,True
4k94,H,L,C | C,-12.551945274084549,,True
5vpg,D,C,A,-10.533664762780312,,True
1fl3,H,L,L,-9.27123914600291,,True
5nh3,H,L,A,-12.294413792096064,,True
1m7i,B,A,A,-7.3641077518219635,,True
3t2n,I,M,B,-10.5,37.0,True
6ejg,C,c,A,-12.403045576779585,,True
5cin,H,L,P,-10.5656987090059,,True
3c09,C,B,A,-10.04,25.0,True
5yy4,A,a,B,-8.774542782220665,,True
4lmq,H,L,D,-12.32567017838922,,True
3q3g,B,A,E,-11.32,25.0,True
3ngb,E,F,D,-10.88,20.0,True
5w08,M,N,F,-10.092595930642474,,True
4rgm,H,L,S,-10.423049285339754,,True
1sm3,H,L,P,-6.30251950781888,,True
1yej,H,L,L,-10.171711101540176,,True
5c0n,H,L,A,-7.34515831911734,,True
4gms,H,L,A,-10.503274322962254,,True
5w08,Q,R,D,-10.092595930642474,,True
5zia,H,I,J,-8.898798774188476,,True
1gaf,H,L,H,-10.913952715282036,,True
5myx,D,C,F,-11.13811088195787,,True
1fsk,F,E,D,-13.12373995487015,,True
4mhh,J,K,A,-12.340621190735936,,True
5dd0,H,L,P,-9.65512996306636,,True
5aaw,F,f,G,-11.411241859183765,,True
4xgz,M,N,m,-10.395251776049642,,True
6ii9,H,L,A,-10.521320906302677,,True
6ddm,B,A,C,-12.792176733448072,,True
6d01,C,D,I,-8.927113962567878,,True
4n9g,A,B,C,-12.942286816628542,,True
3u0t,B,A,F,-12.991531042419238,,True
3wih,H,L,A,-10.533664762780312,,True
1ob1,E,D,F,-12.29,4.0,True
2fr4,B,A,M,-7.3641077518219635,,True
6mu3,M,K,M,-8.39678861981014,,True
4rdq,K,J,B,-10.67372125591851,,True
3rkd,H,L,A,-11.22,,True
4am0,A,B,S,-12.792176733448072,,True
5te7,H,L,G,-11.666051859880756,,True
5jhl,H,L,A,-11.689711339052632,,True
5vag,C,B,A,-10.950612882178412,,True
5u7m,H,L,G,-9.201454619595646,,True
5tkj,D,E,F,-11.112714836617696,,True
5cil,H,L,P,-10.077965960666114,,True
4r2g,J,I,K,-10.188885744060974,,True
6d6t,K,L,D,-11.20681521904132,,True
4uu9,H,L,D,-14.80733067454163,,True
5d1q,C,D,E,-14.851238438600603,,True
1mpa,H,L,P,-10.969830253718456,,True
6cwt,A,B,E,-15.960250680603272,,True
3l5w,H,L,I,-14.0,25.0,True
5myo,B,A,E,-14.369763591907674,,True
6b5t,H,L,A,-11.808361680878818,,True
4qci,B,A,D,-14.396652282221847,,True
4dtg,H,L,K,-13.82890187434071,,True
4np4,H,L,A,-14.626397031011075,,True
5n7w,A,B,Y,-9.681917538322692,,True
1mjj,B,A,A,-11.920149456768272,,True
4aei,J,N,C,-12.4104057171432,,True
4wht,E,F,e,-11.053614350904786,,True
6azz,C,B,A,-11.151229137696946,,True
5t78,B,A,F,-10.04974711892974,,True
2nz9,D,C,A,-15.12,23.0,True
3bdy,H,L,V,-8.89,,True
3lh2,H,L,S,-11.25,,True
3fku,Y,y,B | A,-13.48,25.0,True
1f4y,H,L,H,-8.29,,True
4m8q,H,L,C,-11.462794680024446,,True
4fab,H,L,H,-11.02,,True
6bit,I,K,H,-11.712071867460317,,True
1fe8,I,M,B,-7.774786144141744,,True
4d9q,E,D,B,-14.355775131829494,,True
1dzb,B,b,Y,-8.57,25.0,True
3bky,H,L,P,-8.67,,True
1y0l,D,C,D,-12.27819680469229,,True
4n9g,H,L,Y,-12.942286816628542,,True
3a6b,H,L,Y,-9.63,30.0,True
4k24,H,L,U,-8.550544767912342,,True
3hi1,B,A,J,-10.84,,True
6msy,H,L,H,-9.54970862587178,,True
3uzq,A,a,B,-13.760019836577095,,True
5c7x,H,L,A,-16.913816377693745,,True
2fx9,I,M,Q,-10.59,,True
5a2k,H,h,P,-8.658567314824953,,True
5anm,B,A,G,-15.975251068647337,,True
4z5r,S,R,H,-14.658430977236662,,True
5zia,K,M,N,-8.898798774188476,,True
3wih,I,M,B,-10.533664762780312,,True
4uu9,A,B,C,-14.80733067454163,,True
5t6p,B,A,F,-8.26120372284051,,True
3ggw,D,C,F,-7.55,25.0,True
5u7m,D,E,B,-9.201454619595646,,True
2dd8,H,L,S,-10.5,25.0,True
6eyo,I,M,B,-14.596006591193015,,True
6ii8,G,I,A,-8.749460362550247,,True
6cdm,D,E,F,-12.40671421809852,,True
5w6g,H,L,A,-7.740262767026869,,True
3ru8,H,L,X,-10.19,25.0,True
5kvg,H,L,E,-10.989691901661018,,True
6bli,G,H,I,-12.665637564550789,,True
6flc,H,L,G,-9.212417624520992,,True
4np4,I,M,A,-14.626397031011075,,True
2qr0,X,W,V,-11.5,37.0,True
1cz8,H,L,W,-14.12,37.0,True
5w0k,E,F,C,-9.771277639060871,,True
2h9g,B,A,R,-11.32,,True
4fqr,c,d,C,-9.54970862587178,,True
5yoy,G,D,B,-14.658430977236662,,True
4xgz,O,P,o,-10.395251776049642,,True
5w06,H,L,T,-13.443086585131375,,True
6b3s,J,K,I,-10.805930168369423,,True
5ies,H,L,C,-8.77775408374075,,True
2vwe,L,J,B,-13.56,,True
4why,G,H,D,-11.053614350904786,,True
4wht,K,L,k,-11.053614350904786,,True
4ffz,Z,Y,X,-8.705114208770938,,True
6df2,B,A,C,-9.880679659658352,,True
5bvp,H,L,I,-14.345981790181613,,True
4al8,H,L,C,-12.751299583055715,,True
4r2g,D,C,O,-10.188885744060974,,True
5kov,W,w,S,-11.907338499719083,,True
2fl5,B,A,B,-11.929942798416157,,True
3hzk,B,A,B,-9.139030233552,,True
4kxz,J,I,B,-11.627286953008984,,True
5jq6,H,L,A,-12.41785844031504,,True
1uwx,M,K,Q,-7.9,,True
2jb5,H,L,H,-12.58085265009946,,True
5w42,H,L,A,-10.032100252409448,,True
4kxz,H,L,A,-11.627286953008984,,True
2r56,H,L,A,-12.12,,True
5u7o,D,E,B,-9.736169606109948,,True
3fku,Z,z,D | C,-13.48,25.0,True
1axs,H,L,H,-10.599564136380756,,True
6ii4,E,F,C,-10.613671557141997,,True
4hj0,P,Q,A,-10.420467653019871,,True
3hzv,B,A,A,-8.898798774188476,,True
4d9q,H,L,A,-14.355775131829494,,True
5jyl,B,b,A,-10.996463217420198,,True
4f37,F,K,B,-11.268161381529886,,True
4r2g,Q,P,E,-10.188885744060974,,True
2y36,H,L,P,-8.758742281050278,,True
3iet,B,A,X,-9.350354316900614,,True
1yyl,R,Q,P,-11.9,37.0,True
4fqr,g,h,G,-9.54970862587178,,True
3b2u,J,K,I,-12.27,25.0,True
3idy,H,L,G,-11.450944611411623,,True
5lcv,H,L,A | B,-8.288766072897529,,True
6e62,B,C,A,-11.589048932503635,,True
6b5o,H,L,A,-11.3663552684029,,True
5xmh,D,C,B,-5.178506877772148,,True
3b2u,N,O,M,-12.27,25.0,True
4jpk,H,L,A,-10.036126204570545,,True
5otj,B,A,D,-13.328052315201264,,True
2hrp,N,M,Q,-11.32,,True
6bkc,H,L,E,-12.4104057171432,,True
5f3b,A,B,C,-15.720019221239747,,True
2i5y,H,L,G,-11.689711339052632,,True
1a4k,B,A,B,-10.91,25.0,True
4wht,Q,R,q,-11.053614350904786,,True
5utz,J,K,I,-11.904493814008964,,True
6mub,H,L,H,-9.54970862587178,,True
3ngb,H,L,G,-10.88,20.0,True
4ffz,H,L,A,-8.705114208770938,,True
4xh2,E,F,e,-11.216608560689204,,True
6h0e,A,B,K,-9.031007686639388,,True
5d70,H,L,A,-11.867518412372508,,True
1uz8,H,L,H,-6.764750720979343,,True
3v6z,A,B,F,-11.570817226937056,,True
4rgm,C,B,A,-10.423049285339754,,True
4mhj,T,X,M,-12.27819680469229,,True
1y0l,B,A,A,-12.27819680469229,,True
3b2u,W,X,V,-12.27,25.0,True
5yoy,R,O,J,-14.658430977236662,,True
3skj,I,M,F,-12.4,,True
4xnm,H,L,C,-11.046161627732946,,True
5t6l,H,L,I,-14.386165571647554,,True
5m63,M,N,N,-9.493238899799852,,True
4yk4,Z,Y,E,-8.78422937966864,,True
5aam,A,a,C,-11.487230459870789,,True
1eo8,H,L,A,-10.87,22.0,True
4k3j,H,L,B,-12.170174257779676,,True
3mj9,H,L,A,-11.06,25.0,True
1uz8,B,A,H,-6.764750720979343,,True
4uin,H,L,H,-10.395251776049642,,True
3bgf,B,C,A,-10.34,25.0,True
6ejm,I,i,A,-12.367556905430469,,True
5ikc,H,L,N,-10.325467249642376,,True
4od2,B,A,S,-12.32759904720082,,True
5hys,C,D,K,-14.201849726854263,,True
3ijy,D,C,D,-8.241342074897947,,True
3q1s,H,L,I,-9.85,25.0,True
4zfg,H,L,A,-11.324631107601816,,True
5vyf,H,L,F,-13.271582589129338,,True
4rdq,I,H,A,-10.67372125591851,,True
5sy8,H,L,O,-14.939539586992543,,True
3idx,H,L,G,-11.450944611411623,,True
4ps4,H,L,A,-15.339731268738026,,True
1ct8,D,C,D,-8.898798774188476,,True
5kvd,H,L,E,-8.97006636439889,,True
6ejm,H,h,B,-12.367556905430469,,True
